2018-12-24 13:54:18.020  INFO 14624 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2018-12-24 13:54:19.364  INFO 14624 --- [main] c.c.c.ConfigServicePropertySourceLocator : Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2018-12-24 13:54:19.366  WARN 14624 --- [main] c.c.c.ConfigServicePropertySourceLocator : Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/140837-customer-service/dev": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2018-12-24 13:54:19.374  INFO 14624 --- [main] io.cts.msa.om.customer.Application       : The following profiles are active: dev
2018-12-24 13:54:20.523  INFO 14624 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode.
2018-12-24 13:54:20.612  INFO 14624 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 82ms. Found 1 repository interfaces.
2018-12-24 13:54:20.736  WARN 14624 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2018-12-24 13:54:20.996  INFO 14624 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=f45a7cd5-2075-3968-bd36-e2524decdec7
2018-12-24 13:54:21.039  INFO 14624 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$1bfb9aed] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-12-24 13:54:21.113  INFO 14624 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$558fdcbf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-12-24 13:54:21.135  INFO 14624 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$71a9dfbc] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-12-24 13:54:21.390  INFO 14624 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 7071 (http)
2018-12-24 13:54:21.403  INFO 14624 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2018-12-24 13:54:21.404  INFO 14624 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet Engine: Apache Tomcat/9.0.12
2018-12-24 13:54:21.409  INFO 14624 --- [main] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jre1.8.0_191\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:/Program Files/Java/jre1.8.0_192/bin/server;C:/Program Files/Java/jre1.8.0_192/bin;C:/Program Files/Java/jre1.8.0_192/lib/amd64;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Microsoft VS Code\bin;C:\Users\Prosenjit\AppData\Roaming\Cloud Foundry;C:\Program Files\Java\jdk1.8.0_192\bin;C:\Users\Prosenjit\AppData\Local\Microsoft\WindowsApps;C:\Users\Prosenjit\AppData\Local\GitHubDesktop\bin;E:\Spring STS\sts-bundle\sts-3.9.5.RELEASE;;.]
2018-12-24 13:54:21.571  INFO 14624 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
